Location,Price
Balikpapan,3890148.153846154
Banda Aceh,8103000.0
Bandar Lampung,1366741.6666666667
Bandung,1418305.7217598096
Banjar,117333.16666666667
Banjarbaru,12799987.5
Banjarmasin,2669911.9
Batam,4745716.611111111
Batu,1600000.0
Bekasi,3288904.87456446
Bengkulu,4383333.333333333
Blitar,200000.0
Bogor,3292212.5576923075
Buttonscarves,1125000.0
Cilegon,1471622.2222222222
Cimahi,1154364.2857142857
Cirebon,11985944.444444444
Denpasar,3179938.4404761903
Depok,1842223.9351351352
Dumai,2930000.0
Gorontalo,4800000.0
Jakarta Barat,2335553.2244116035
Jakarta Pusat,8616618.081670823
Jakarta Selatan,3834084.0957264956
Jakarta Timur,2390263.166163142
Jakarta Utara,4325606.282208589
Jambi,3563285.714285714
Kab. Asahan,750000.0
Kab. Badung,2935900.0
Kab. Bandung,1047999.4736842106
Kab. Bandung Barat,737465.8863636364
Kab. Bangkalan,7400000.0
Kab. Banjarnegara,3175000.0
Kab. Bantul,821627.3913043478
Kab. Banyumas,1476062.5
Kab. Banyuwangi,147500.0
Kab. Batang,458000.0
Kab. Bekasi,593745.9516129033
Kab. Bintan,380000.0
Kab. Blitar,131468.88888888888
Kab. Blora,626340.0
Kab. Bogor,1918830.662576687
Kab. Bojonegoro,2480000.0
Kab. Bondowoso,96500.0
Kab. Boyolali,220000.0
Kab. Cianjur,1175000.0
Kab. Cilacap,1116300.0
Kab. Cirebon,7237156.25
Kab. Deli Serdang,102000.0
Kab. Demak,973000.0
Kab. Garut,1278753.8461538462
Kab. Gianyar,9824250.0
Kab. Gresik,4880966.666666667
Kab. Grobogan,2933949.6666666665
Kab. Indragiri Hilir,15000.0
Kab. Jember,3747333.3333333335
Kab. Jepara,1631428.5714285714
Kab. Jombang,2037500.0
Kab. Karanganyar,195733.33333333334
Kab. Karangasem,185000.0
Kab. Karawang,749612.5
Kab. Karimun,7800000.0
Kab. Kediri,5262214.285714285
Kab. Kendal,5000000.0
Kab. Ketapang,600000.0
Kab. Klaten,186766.2857142857
Kab. Kubu Raya,75000.0
Kab. Kudus,3518000.0
Kab. Kulon Progo,6950000.0
Kab. Kuningan,2384666.6666666665
Kab. Labuhanbatu,11200000.0
Kab. Lampung Selatan,167333.33333333334
Kab. Lampung Tengah,3025000.0
Kab. Lampung Timur,178000.0
Kab. Lombok Barat,2950000.0
Kab. Lombok Timur,100000.0
Kab. Lumajang,180000.0
Kab. Madiun,2800000.0
Kab. Magelang,249000.0
Kab. Magetan,4995000.0
Kab. Majalengka,1134000.0
Kab. Malang,596684.5384615385
Kab. Manokwari,4000000.0
Kab. Merauke,300000.0
Kab. Mojokerto,2566956.6666666665
Kab. Musi Banyuasin,13999999.0
Kab. Nganjuk,3767500.0
Kab. Ogan Komering Ulu,100000.0
Kab. Ogan Komering Ulu Selatan,750000.0
Kab. Pamekasan,725467.8571428572
Kab. Pasuruan,135000.0
Kab. Pati,4763333.333333333
Kab. Pekalongan,64500.0
Kab. Pemalang,206975.0
Kab. Pinrang,500000.0
Kab. Ponorogo,2750000.0
Kab. Probolinggo,54000.0
Kab. Purbalingga,145999.0
Kab. Purwakarta,445099.8
Kab. Rembang,28000.0
Kab. Sanggau,55000.0
Kab. Semarang,279666.6666666667
Kab. Serang,256340.0
Kab. Sidoarjo,1885126.7857142857
Kab. Sintang,350000.0
Kab. Situbondo,124500.0
Kab. Sleman,4512953.076335878
Kab. Subang,4111000.0
Kab. Sukabumi,1594285.7142857143
Kab. Sukoharjo,1299777.7777777778
Kab. Sumedang,955980.0
Kab. Sumenep,18000.0
Kab. Tabanan,1305000.0
Kab. Tana Toraja,350000.0
Kab. Tanah Laut,8500000.0
Kab. Tangerang,1962386.707746479
Kab. Tanjung Jabung Barat,3625000.0
Kab. Tasikmalaya,272000.0
Kab. Tegal,36465.0
Kab. Wonosobo,300000.0
Kab.Ciamis,206275.0
Kediri,5042374.875
Kendari,2700000.0
Koodo,380000.0
Logitech Official Store,514473.6842105263
Madiun,3021333.3333333335
Magelang,317993.8333333333
Makassar,7376981.142857143
Malang,6566899.454935622
Manado,7033666.666666667
Mataram,10099.0
Medan,3046757.060810811
Mils Technologies Official,455000.0
Miniso Indonesia,146900.0
Padang,3869166.6666666665
Pagar Alam,225000.0
Palangkaraya,3000000.0
Palembang,3128448.484848485
Palu,9026000.0
Pasuruan,3100000.0
Pekalongan,6686666.666666667
Pekanbaru,1830277.7777777778
Pontianak,2056688.888888889
Probolinggo,5900000.0
Promina Official Store,11374.0
Salatiga,603195.0
Samarinda,5391070.3125
Semarang,2660738.809090909
Serang,680800.0
Sukabumi,238325.0
Surabaya,4083521.871886121
Surakarta,3754311.227272727
Tangerang,2179876.0149625936
Tangerang Selatan,2961014.067114094
Tanjung Pinang,1835894.6842105263
Tarakan,910000.0
Tasikmalaya,997312.5
Tebing Tinggi,4700000.0
Tegal,70000.0
Waroengame,229000.0
Yogyakarta,5638649.842105263
